ID,ABNORMAL,GROUP,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
2,0,1,5.075,6.091666666666667,6.528789659224442,6.931374853113984,6.623736780258519,0.00084029060377265,0.004450328890358283,0.0008361204013377925,0.009188578998117891,0.0036755852842809363
4,0,1,5.155571901434351,6.1974990805443175,6.227178729689808,6.546824224519941,6.408862629246676,0.0009392313790125218,0.005381383446359435,0.0008877811657236863,0.008579590650088053,0.003928571428571428
6,1,5,11.942141623488773,11.400474956822107,10.893278044522043,10.281754692274117,10.867088607594937,0.0007536464657758447,0.0067774269382497206,0.0007536464657758452,0.008970082672249377,0.003707536557930259
8,0,1,4.210780926053904,5.21147201105736,4.396448774355751,5.153048397234444,5.418526084223759,0.0001908688349366314,0.0016035254221719514,0.00019086883493663162,0.004268810403082288,0.002128569247213315
9,1,8,12.22638888888889,6.288888888888889,7.176673751328374,6.850956429330499,6.147715196599362,0.0011091607031248956,0.0032299247214483545,0.000992063492063492,0.009445465631066281,0.004511904761904762
10,0,0,4.463054187192118,8.122704881325571,5.574065011333196,6.4492968267051305,6.114709973212446,7.891414141414127e-05,0.0005422153846686201,8.499313142573385e-05,0.002865376712766256,0.001132891414141414
13,0,0,7.335463258785943,9.337593184238552,8.39129202871175,7.482338496411032,8.494931368845233,0.0002090740263335388,0.0007969509868597611,0.0002017996464533507,0.004848318646773766,0.002151693211690119
15,0,0,6.0055727554179565,6.408049535603715,5.376199383000947,6.354677290062429,5.733087181480312,0.00013552255675893925,0.0008171909035701799,0.00012361559101051626,0.0037819292899220207,0.0016480399524836967
16,0,1,4.0206459525756335,5.113041700735895,4.615200840493358,5.557848682411525,5.612149734467423,8.028687629653265e-05,0.0007226247736846881,7.912041899796014e-05,0.0032702737996018884,0.001663360100771532
20,0,2,8.828358208955224,8.705756929637527,12.717026378896882,10.425259792166267,10.490007993605117,0.0025690119226789857,0.008364096839706478,0.002343299408820214,0.013486700910688593,0.007716758578431373
21,0,0,6.928197456993269,10.464472700074793,5.404539812931046,7.889895461466611,6.179250956457206,0.000107354617074339,0.0004553921971018295,8.421589035943647e-05,0.003230712397146635,0.0014666292301848151
22,1,4,6.236227824463119,6.860410830999066,5.601035328308056,4.883116883116883,6.264553628189992,0.00043331776687655706,0.0034088310995482474,0.00043331776687655706,0.007239546612540244,0.003814814814814815
23,0,0,7.24364896073903,6.854503464203233,5.151707458243758,6.808603439722177,5.814060691251861,0.00013475338017181963,0.0006871101150186957,0.0001252008922526583,0.004077882597637579,0.0014924629375856486
26,0,0,8.198081264108351,8.436794582392777,5.639909745162813,7.281191009910335,6.183252713544125,8.936797493326995e-05,0.0005131488345117072,8.936797493326995e-05,0.002384518934867385,0.0012556133564536926
27,0,1,5.619178082191781,6.3195205479452055,5.496954933008526,6.053999187982136,5.983082961158479,0.0004739613101830264,0.003363006316922669,0.0004923743873283601,0.00690871159299377,0.003940765893227693
