ID,ABNORMAL,GROUP,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
2,0,1,33.36833333333333,27.488333333333333,28.389444444444443,113.69682726204465,115.7936545240893,114.85099882491187,5.075,5.805,6.091666666666667,6.528789659224442,6.931374853113984,6.623736780258519,0.3557692307692308,0.1505016722408027,11,0.00084029060377265,0.004450328890358283,0.003906962602614777,0.0060124657950744904,25,0.0008361204013377925,0.009188578998117891,0.0036755852842809363,0.005959866220735786,162.06153846153845,21.230769230769234
4,0,1,32.31923501287238,31.726002206693636,32.72636998896653,122.0466765140325,123.51905465288036,126.91816838995568,5.155571901434351,5.7874218462670095,6.1974990805443175,6.227178729689808,6.546824224519941,6.408862629246676,0.28784013605442177,0.23120748299319727,12,0.0009392313790125218,0.005381383446359435,0.004336734693877551,0.005328798185941043,25,0.0008877811657236863,0.008579590650088053,0.003928571428571428,0.005680272108843537,187.01666666666668,24.5
6,1,5,66.77741796200345,65.5513816925734,71.87284110535406,170.5371017023134,172.01833260584897,169.83631601920558,11.942141623488773,11.26986183074266,11.400474956822107,10.893278044522043,10.281754692274117,10.867088607594937,0.34360704911886014,0.34735658042744655,17,0.0007536464657758447,0.0067774269382497206,0.0029731577670438253,0.004296521758309624,25,0.0007536464657758452,0.008970082672249377,0.003707536557930259,0.005285339332583427,189.3307086614173,24.80314960629921
8,0,1,37.76088458880442,20.053674268601704,24.00483759502419,123.87562853551226,138.00640320553111,139.89495600251414,4.210780926053904,4.887353144436766,5.21147201105736,4.396448774355751,5.153048397234444,5.418526084223759,0.4858757062146893,0.08285616124599175,17,0.0001908688349366314,0.0016035254221719514,0.001958089694879326,0.0017593615549747154,25,0.00019086883493663162,0.004268810403082288,0.002128569247213315,0.00289891586501756,243.4414414414414,31.891891891891895
9,1,8,13.054166666666667,9.834722222222222,10.494444444444444,167.02258235919234,90.5106269925611,77.75929861849097,12.22638888888889,6.533333333333333,6.288888888888889,7.176673751328374,6.850956429330499,6.147715196599362,0.3734126984126984,0.07142857142857142,7,0.0011091607031248956,0.0032299247214483545,0.004790249433106576,0.00739795918367347,25,0.000992063492063492,0.009445465631066281,0.004511904761904762,0.0057619047619047615,184.01785714285714,24.107142857142858
10,0,0,2.961038961038961,2.7962382445141065,4.060456784594716,84.76871265196786,94.9494127343911,96.51567329486916,4.463054187192118,8.888938647559337,8.122704881325571,5.574065011333196,6.4492968267051305,6.114709973212446,0.6127525252525252,0.017621527777777778,14,7.891414141414127e-05,0.0005422153846686201,0.0010771780303030303,0.0018589917027417027,25,8.499313142573385e-05,0.002865376712766256,0.001132891414141414,0.001911300505050505,196.796875,25.78125
13,0,0,5.212992545260916,3.308839190628328,2.500532481363152,86.33547412164715,92.47402720060445,88.85351341140914,7.335463258785943,7.599574014909479,9.337593184238552,8.39129202871175,7.482338496411032,8.494931368845233,0.6139631977733107,0.018149837637235194,7,0.0002090740263335388,0.0007969509868597611,0.0021178952484039847,0.0016401952771212087,25,0.0002017996464533507,0.004848318646773766,0.002151693211690119,0.0024462656564094632,220.11637931034483,28.836206896551726
15,0,0,27.38080495356037,5.785139318885449,5.101547987616099,81.16161002744917,84.48849806884155,80.82495688294021,6.0055727554179565,9.560990712074304,6.408049535603715,5.376199383000947,6.354677290062429,5.733087181480312,0.499006036509976,0.01957623215108245,10,0.00013552255675893925,0.0008171909035701799,0.0021903561298455723,0.0009503260685107518,25,0.00012361559101051626,0.0037819292899220207,0.0016480399524836967,0.0008877790976750952,309.6599190283401,40.5668016194332
16,0,1,5.2841373671300085,5.107522485690924,5.610179885527391,100.0548911244477,100.04778147172689,103.61098398169337,4.0206459525756335,5.03556827473426,5.113041700735895,4.615200840493358,5.557848682411525,5.612149734467423,0.5470240906943789,0.03851361990237758,17,8.028687629653265e-05,0.0007226247736846881,0.002075634221567701,0.0012911352542906629,25,7.912041899796014e-05,0.0032702737996018884,0.001663360100771532,0.001714060777830263,345.8689655172414,45.310344827586206
20,0,2,36.38059701492537,40.73240938166311,44.63539445628998,125.53077537969624,129.47242206235012,128.3461231015188,8.828358208955224,7.840085287846482,8.705756929637527,12.717026378896882,10.425259792166267,10.490007993605117,0.2874540441176471,0.21553308823529413,7,0.0025690119226789857,0.008364096839706478,0.008961397058823529,0.010504201680672268,12,0.002343299408820214,0.013486700910688593,0.007716758578431373,0.008080575980392156,215.52941176470588,28.235294117647058
